ArtistName,EndTime,TrackName,MsPlayed,Date,Year,Month,DayName,Hour,MinutesPlayed,IsSkipped
Karan Aujla,2025-01-27 14:31:00,Winning Speech,192733,2025-01-27,2025,January,Monday,14,3.21,No
Karan Aujla,2025-01-28 04:36:00,Winning Speech,35714,2025-01-28,2025,January,Tuesday,4,0.60,No
Karan Aujla,2025-01-28 04:46:00,Ask About Me,97734,2025-01-28,2025,January,Tuesday,4,1.63,No
Karan Aujla,2025-01-28 04:47:00,Ask About Me,47610,2025-01-28,2025,January,Tuesday,4,0.79,No
Karan Aujla,2025-01-28 04:48:00,Wytb,70735,2025-01-28,2025,January,Tuesday,4,1.18,No
Karan Aujla,2025-01-28 04:58:00,Wytb,6301,2025-01-28,2025,January,Tuesday,4,0.11,Yes
Karan Aujla,2025-01-28 05:01:00,Softly,155161,2025-01-28,2025,January,Tuesday,5,2.59,No
Bohemia,2025-01-28 05:02:00,Ek Din,31272,2025-01-28,2025,January,Tuesday,5,0.52,No
Karan Aujla,2025-01-28 05:05:00,ON TOP 2,181714,2025-01-28,2025,January,Tuesday,5,3.03,No
Tushar,2025-01-28 05:08:00,Madam Ji,186270,2025-01-28,2025,January,Tuesday,5,3.10,No
Various Artists,2025-01-28 05:17:00,Ford VS Ford,259239,2025-01-28,2025,January,Tuesday,5,4.32,No
Mehtab Virk,2025-01-28 05:21:00,Apni Bna Lai,36555,2025-01-28,2025,January,Tuesday,5,0.61,No
Mehtab Virk,2025-01-28 05:21:00,Drop,188848,2025-01-28,2025,January,Tuesday,5,3.15,No
Shivjot,2025-01-28 05:24:00,Ford Vs Ford 2,47580,2025-01-28,2025,January,Tuesday,5,0.79,No
Mehtab Virk,2025-01-28 05:24:00,Haar Jaani Aa,7052,2025-01-28,2025,January,Tuesday,5,0.12,Yes
Mehtab Virk,2025-01-28 05:24:00,Jhidkaan,305,2025-01-28,2025,January,Tuesday,5,0.01,Yes
Babbal Rai,2025-01-28 05:24:00,Tera Naam,25006,2025-01-28,2025,January,Tuesday,5,0.42,Yes
Mehtab Virk,2025-01-28 05:25:00,Taara,58283,2025-01-28,2025,January,Tuesday,5,0.97,No
Jordan Sandhu,2025-01-28 05:28:00,Teeje Week,190203,2025-01-28,2025,January,Tuesday,5,3.17,No
Jordan Sandhu,2025-01-28 05:33:00,Tareefan,192000,2025-01-28,2025,January,Tuesday,5,3.20,No
Jordan Sandhu,2025-01-28 05:36:00,Jattiye Ni,181787,2025-01-28,2025,January,Tuesday,5,3.03,No
Jordan Sandhu,2025-01-28 05:40:00,Tu Te Sharab,195000,2025-01-28,2025,January,Tuesday,5,3.25,No
Jordan Sandhu,2025-01-28 05:43:00,Defend,173895,2025-01-28,2025,January,Tuesday,5,2.90,No
Jordan Sandhu,2025-01-28 05:56:00,Ammo (feat. Sultaan),103930,2025-01-28,2025,January,Tuesday,5,1.73,No
Jordan Sandhu,2025-01-28 16:38:00,Teeje Week,190203,2025-01-28,2025,January,Tuesday,16,3.17,No
Jordan Sandhu,2025-01-28 16:41:00,Tareefan,192000,2025-01-28,2025,January,Tuesday,16,3.20,No
Jordan Sandhu,2025-01-28 16:44:00,Jattiye Ni,181787,2025-01-28,2025,January,Tuesday,16,3.03,No
Jordan Sandhu,2025-01-28 16:47:00,Tu Te Sharab,195000,2025-01-28,2025,January,Tuesday,16,3.25,No
Jordan Sandhu,2025-01-28 16:50:00,Defend,173895,2025-01-28,2025,January,Tuesday,16,2.90,No
Jordan Sandhu,2025-01-28 16:54:00,Ammo (feat. Sultaan),202618,2025-01-28,2025,January,Tuesday,16,3.38,No
Mankirt Aulakh,2025-01-28 16:56:00,Gangland,168000,2025-01-28,2025,January,Tuesday,16,2.80,No
Mankirt Aulakh,2025-01-28 17:00:00,Kadar,189544,2025-01-28,2025,January,Tuesday,17,3.16,No
Vicky Dhillon,2025-01-28 17:02:00,Top Notch Gabru,158294,2025-01-28,2025,January,Tuesday,17,2.64,No
Simiran Kaur Dhadli,2025-01-28 17:06:00,Barood Wargi,231529,2025-01-28,2025,January,Tuesday,17,3.86,No
Garry Sandhu,2025-01-28 17:08:00,Illegal Weapon,68744,2025-01-28,2025,January,Tuesday,17,1.15,No
Garry Sandhu,2025-01-29 15:21:00,Illegal Weapon,47303,2025-01-29,2025,January,Wednesday,15,0.79,No
Vishal-Shekhar,2025-01-30 17:45:00,Ishq Bulaava,303640,2025-01-30,2025,January,Thursday,17,5.06,No
Vishal-Shekhar,2025-01-30 17:49:00,Zehnaseeb,217440,2025-01-30,2025,January,Thursday,17,3.62,No
Vishal-Shekhar,2025-01-30 17:54:00,Bahara,325706,2025-01-30,2025,January,Thursday,17,5.43,No
Vishal-Shekhar,2025-01-30 17:59:00,Bin Tere,330360,2025-01-30,2025,January,Thursday,17,5.51,No
Vishal-Shekhar,2025-01-30 18:04:00,Ajab Si,241668,2025-01-30,2025,January,Thursday,18,4.03,No
Vishal-Shekhar,2025-01-30 18:09:00,Falak Tak,306214,2025-01-30,2025,January,Thursday,18,5.10,No
Ayushmann Khurrana,2025-02-01 19:05:00,Pani Da Rang - Male Vocals,15249,2025-02-01,2025,February,Saturday,19,0.25,Yes
Vishal-Shekhar,2025-02-01 19:05:00,Falak Tak,1732,2025-02-01,2025,February,Saturday,19,0.03,Yes
Vishal-Shekhar,2025-02-01 19:11:00,Ishq Bulaava,303640,2025-02-01,2025,February,Saturday,19,5.06,No
Vishal-Shekhar,2025-02-01 19:19:00,Vele,230546,2025-02-01,2025,February,Saturday,19,3.84,No
Vishal-Shekhar,2025-02-01 19:20:00,Zehnaseeb,35514,2025-02-01,2025,February,Saturday,19,0.59,No
Vishal-Shekhar,2025-02-02 17:48:00,Zehnaseeb,128086,2025-02-02,2025,February,Sunday,17,2.13,No
Vishal-Shekhar,2025-02-02 17:53:00,Kukkad,262866,2025-02-02,2025,February,Sunday,17,4.38,No
Vishal-Shekhar,2025-02-02 17:58:00,Bahara,325706,2025-02-02,2025,February,Sunday,17,5.43,No
Vishal-Shekhar,2025-02-02 18:01:00,Drama Queen,159138,2025-02-02,2025,February,Sunday,18,2.65,No
Sanam Puri,2025-02-03 16:53:00,Fakira,162923,2025-02-03,2025,February,Monday,16,2.72,No
Sanam Puri,2025-02-03 16:55:00,Kya Karoon,70223,2025-02-03,2025,February,Monday,16,1.17,No
Gurnam Bhullar,2025-02-03 16:59:00,Fakira,249882,2025-02-03,2025,February,Monday,16,4.16,No
Sanam,2025-02-03 17:03:00,Jaane Woh Kaise,261290,2025-02-03,2025,February,Monday,17,4.35,No
Kunaal Vermaa,2025-02-03 17:07:00,Milenge Hum Nahi,209000,2025-02-03,2025,February,Monday,17,3.48,No
Gurnam Bhullar,2025-02-03 17:11:00,Pagal,269268,2025-02-03,2025,February,Monday,17,4.49,No
Mustafa Zahid,2025-02-03 17:16:00,Na kar Deewana,319266,2025-02-03,2025,February,Monday,17,5.32,No
Altamash Faridi,2025-02-03 17:21:00,Jeena Marna,284646,2025-02-03,2025,February,Monday,17,4.74,No
Soham Naik,2025-02-03 17:26:00,Raanjhana Ve,283195,2025-02-03,2025,February,Monday,17,4.72,No
Sanam,2025-02-03 17:30:00,Pehla Nasha,224210,2025-02-03,2025,February,Monday,17,3.74,No
Mustafa Zahid,2025-02-03 17:36:00,Toh Phir Aao - Lounge Version,355866,2025-02-03,2025,February,Monday,17,5.93,No
Diljit Dosanjh,2025-02-03 17:38:00,Kabhi Usey Noor Noor Kehta Hoon - Trending Version,134080,2025-02-03,2025,February,Monday,17,2.23,No
Rajat Nagpal,2025-02-03 17:43:00,Main Royaan,249353,2025-02-03,2025,February,Monday,17,4.16,No
Sona Mohapatra,2025-02-03 17:47:00,Jiya Lage Na,276607,2025-02-03,2025,February,Monday,17,4.61,No
Aditya Narayan,2025-02-03 17:52:00,Chaahata Dil Tumko,279545,2025-02-03,2025,February,Monday,17,4.66,No
Akhil Sachdeva,2025-02-03 17:56:00,Tere Naal,256046,2025-02-03,2025,February,Monday,17,4.27,No
Ami Mishra,2025-02-03 17:59:00,Hasi Ban Gaye,165499,2025-02-03,2025,February,Monday,17,2.76,No
Sachet Tandon,2025-02-03 18:02:00,Beiraada,199181,2025-02-03,2025,February,Monday,18,3.32,No
Papon,2025-02-03 18:08:00,"Mujhe Kaise, Pata Na Chala",317118,2025-02-03,2025,February,Monday,18,5.29,No
Kushagra,2025-02-03 18:22:00,Baawra,185145,2025-02-03,2025,February,Monday,18,3.09,No
Pritam,2025-02-03 20:16:00,Kabira,223459,2025-02-03,2025,February,Monday,20,3.72,No
Pritam,2025-02-03 20:21:00,Subhanallah,249707,2025-02-03,2025,February,Monday,20,4.16,No
Sachin-Jigar,2025-02-03 20:21:00,Saibo,17190,2025-02-03,2025,February,Monday,20,0.29,Yes
Pritam,2025-02-03 20:26:00,Tum Jo Aaye,253897,2025-02-03,2025,February,Monday,20,4.23,No
Pritam,2025-02-03 20:36:00,Tum Se Hi,6487,2025-02-03,2025,February,Monday,20,0.11,Yes
